[INFO-1]
PC34;88:ae:dd:1d:73:15;172.30.73.17;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC35;88:ae:dd:1d:6f:e2;172.30.73.18;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC36;88:ae:dd:1d:40:e2;172.30.73.19;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC41;88:ae:dd:1d:70:9a;172.30.73.20;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC42;88:ae:dd:1d:71:22;172.30.73.21;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC43;88:ae:dd:1d:6f:c4;172.30.73.22;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC44;88:ae:dd:1d:6f:40;172.30.73.23;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC45;88:ae:dd:1a:96:55;172.30.73.24;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;
PC46;88:ae:dd:1d:6f:46;172.30.73.25;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.61;dummy;

[INFO-2]
PC01;40:8d:5c:27:19:58;172.30.73.62;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC11;e4:54:e8:82:aa:2a;172.30.73.26;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC12;e4:54:e8:87:82:14;172.30.73.27;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC13;e4:54:e8:85:10:7d;172.30.73.28;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC14;e4:54:e8:82:a9:7c;172.30.73.29;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC15;e4:54:e8:82:a4:e7;172.30.73.30;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC16;e4:54:e8:88:01:18;172.30.73.31;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC21;e4:54:e8:86:f1:db;172.30.73.32;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
PC22;e4:54:e8:82:a1:89;172.30.73.33;172.30.73.1;10.239.3.7;10.239.3.8;172.30.73.62;dummy;
